node,component,total_energy,avg_energy
aspire,cpu,152.15,1.51
aspire,nic,0.22,0.0
aspire,ram,145.72,1.08
aspire,sd,7.1,0.05
leo,cpu,63.64,0.61
leo,nic,0.15,0.0
leo,ram,17.17,0.13
leo,sd,0.0,0.0
nitro5,cpu,38.87,0.34
nitro5,nic,1.83,0.01
nitro5,ram,20.94,0.15
nitro5,sd,9.1,0.07
scorpius,cpu,75.42,0.72
scorpius,nic,0.16,0.0
scorpius,ram,79.47,0.59
scorpius,sd,0.01,0.0
