node,component,total_energy,avg_energy
aspire,cpu,67.12,0.62
aspire,nic,0.23,0.0
aspire,ram,44.52,0.32
aspire,sd,5.41,0.04
leo,cpu,478.06,4.23
leo,nic,0.11,0.0
leo,ram,177.59,1.26
leo,sd,0.0,0.0
nitro5,cpu,38.47,0.34
nitro5,nic,0.18,0.0
nitro5,ram,22.71,0.16
nitro5,sd,10.66,0.07
scorpius,cpu,45.27,0.42
scorpius,nic,1.07,0.01
scorpius,ram,43.67,0.31
scorpius,sd,0.0,0.0
