⏳ Esperando a que todos los pods de TeaStore estén Running y Ready...
⏳ Esperando 15s a que CoreDNS se estabilice...
⏳ Verificando estado del TeaStore en http://192.168.18.34:30080/tools.descartes.teastore.webui/status ...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 3 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 5 / 5 servicios OK
✔ TODOS los servicios del TeaStore están OK. Continuando...
=== Escenario high ===
🚀 Iniciando LIMBO con profile=/home/luish/Documents/death/teastore/TeaStore/examples/httploadgenerator/increasingHighIntensity.csv y script=/home/luish/Documents/death/teastore/TeaStore/examples/httploadgenerator/teastore_browse.lua
Nov 27, 2025 1:57:42 AM tools.descartes.dlim.httploadgenerator.runner.Director executeDirector
WARNING: No power measurements
Nov 27, 2025 1:57:42 AM tools.descartes.dlim.httploadgenerator.runner.Director executeDirector
INFO: Load Generator Thread Count set to 128
Nov 27, 2025 1:57:42 AM tools.descartes.dlim.httploadgenerator.runner.Director executeDirector
INFO: URL connection timout set to 10000 ms
Nov 27, 2025 1:57:42 AM tools.descartes.dlim.httploadgenerator.runner.Director executeDirector
INFO: Using Lua Script: /home/luish/Documents/death/teastore/TeaStore/examples/httploadgenerator/teastore_browse.lua
Nov 27, 2025 1:57:42 AM tools.descartes.dlim.httploadgenerator.runner.Director process
INFO: Read 120 Arrival Rate Tuples
Load Generator sent: ok
Nov 27, 2025 1:57:42 AM tools.descartes.dlim.httploadgenerator.runner.Director process
INFO: Arrival Rates sent to Load Generator(s).
Load Generator sent: ok
Nov 27, 2025 1:57:42 AM tools.descartes.dlim.httploadgenerator.runner.Director process
INFO: Thread Count sent to Load Generator(s): 128
Load Generator sent: ok
Nov 27, 2025 1:57:42 AM tools.descartes.dlim.httploadgenerator.runner.Director process
INFO: URL connection timeout sent to Load Generator(s): 10000
Load Generator sent: ok
Nov 27, 2025 1:57:42 AM tools.descartes.dlim.httploadgenerator.runner.Director process
INFO: Contents of script sent to Load Generator: /home/luish/Documents/death/teastore/TeaStore/examples/httploadgenerator/teastore_browse.lua
Nov 27, 2025 1:57:42 AM tools.descartes.dlim.httploadgenerator.runner.Director process
INFO: Starting Load Generation
Beginning Run @1764226662739(27.11.2025;01:57:42739)
Target Time = 0.5; Load Intensity = 16.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 1.5; Load Intensity = 33.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 2.5; Load Intensity = 50.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 3.5; Load Intensity = 66.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 4.5; Load Intensity = 83.0; #Success = 25; #Failed = 3; #Dropped = 0
Target Time = 5.5; Load Intensity = 100.0; #Success = 9; #Failed = 0; #Dropped = 0
Target Time = 6.5; Load Intensity = 116.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 7.5; Load Intensity = 133.0; #Success = 23; #Failed = 0; #Dropped = 0
Target Time = 8.5; Load Intensity = 150.0; #Success = 4; #Failed = 0; #Dropped = 0
Target Time = 9.5; Load Intensity = 166.0; #Success = 4; #Failed = 0; #Dropped = 0
Target Time = 10.5; Load Intensity = 183.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 11.5; Load Intensity = 200.0; #Success = 1; #Failed = 0; #Dropped = 0
Target Time = 12.5; Load Intensity = 216.0; #Success = 31; #Failed = 0; #Dropped = 0
Target Time = 13.5; Load Intensity = 233.0; #Success = 28; #Failed = 0; #Dropped = 0
Target Time = 14.5; Load Intensity = 250.0; #Success = 19; #Failed = 10; #Dropped = 0
Target Time = 15.5; Load Intensity = 266.0; #Success = 5; #Failed = 4; #Dropped = 35
Target Time = 16.5; Load Intensity = 283.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 17.5; Load Intensity = 300.0; #Success = 13; #Failed = 11; #Dropped = 252
Target Time = 18.5; Load Intensity = 316.0; #Success = 2; #Failed = 1; #Dropped = 60
Target Time = 19.5; Load Intensity = 333.0; #Success = 1; #Failed = 2; #Dropped = 166
Target Time = 20.5; Load Intensity = 350.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 21.5; Load Intensity = 366.0; #Success = 0; #Failed = 1; #Dropped = 279
Target Time = 22.5; Load Intensity = 383.0; #Success = 30; #Failed = 11; #Dropped = 367
Target Time = 23.5; Load Intensity = 400.0; #Success = 25; #Failed = 1; #Dropped = 106
Target Time = 24.5; Load Intensity = 416.0; #Success = 29; #Failed = 1; #Dropped = 286
Target Time = 25.5; Load Intensity = 433.0; #Success = 9; #Failed = 0; #Dropped = 247
Target Time = 26.5; Load Intensity = 450.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 27.5; Load Intensity = 466.0; #Success = 22; #Failed = 0; #Dropped = 595
Target Time = 28.5; Load Intensity = 483.0; #Success = 4; #Failed = 0; #Dropped = 176
Target Time = 29.5; Load Intensity = 500.0; #Success = 3; #Failed = 0; #Dropped = 307
Target Time = 30.5; Load Intensity = 516.0; #Success = 0; #Failed = 2; #Dropped = 502
Target Time = 31.5; Load Intensity = 533.0; #Success = 0; #Failed = 4; #Dropped = 2
Target Time = 32.5; Load Intensity = 550.0; #Success = 25; #Failed = 27; #Dropped = 691
Target Time = 33.5; Load Intensity = 566.0; #Success = 19; #Failed = 6; #Dropped = 373
Target Time = 34.5; Load Intensity = 583.0; #Success = 25; #Failed = 0; #Dropped = 364
Target Time = 35.5; Load Intensity = 600.0; #Success = 3; #Failed = 0; #Dropped = 375
Target Time = 36.5; Load Intensity = 616.0; #Success = 0; #Failed = 2; #Dropped = 450
Target Time = 37.5; Load Intensity = 633.0; #Success = 11; #Failed = 2; #Dropped = 540
Target Time = 38.5; Load Intensity = 650.0; #Success = 2; #Failed = 21; #Dropped = 459
Target Time = 39.5; Load Intensity = 666.0; #Success = 2; #Failed = 23; #Dropped = 502
Target Time = 40.5; Load Intensity = 683.0; #Success = 0; #Failed = 11; #Dropped = 379
