node,component,total_energy,avg_energy
aspire,cpu,163.96,1.5
aspire,nic,0.07,0.0
aspire,ram,136.26,0.98
aspire,sd,5.8,0.04
leo,cpu,167.72,1.57
leo,ram,50.99,0.36
leo,sd,0.05,0.0
nitro5,cpu,44.56,0.39
nitro5,nic,1.26,0.01
nitro5,ram,21.59,0.15
nitro5,sd,7.35,0.05
scorpius,cpu,42.68,0.4
scorpius,nic,0.21,0.0
scorpius,ram,38.9,0.28
scorpius,sd,0.0,0.0
