node,component,total_energy,avg_energy
aspire,cpu,180.82,1.74
aspire,nic,0.28,0.0
aspire,ram,153.55,1.15
aspire,sd,17.68,0.13
leo,cpu,79.36,0.74
leo,nic,0.11,0.0
leo,ram,20.6,0.15
leo,sd,0.0,0.0
nitro5,cpu,38.85,0.33
nitro5,nic,0.54,0.0
nitro5,ram,20.32,0.15
nitro5,sd,8.95,0.06
scorpius,cpu,74.89,0.74
scorpius,nic,0.28,0.0
scorpius,ram,81.43,0.6
scorpius,sd,0.01,0.0
