node,component,total_energy,avg_energy
aspire,cpu,127.87,1.25
aspire,nic,0.04,0.0
aspire,ram,96.26,0.69
aspire,sd,258.73,1.8
leo,cpu,478.41,4.39
leo,nic,0.19,0.0
leo,ram,150.08,1.07
leo,sd,0.0,0.0
nitro5,cpu,40.15,0.35
nitro5,nic,2.14,0.02
nitro5,ram,20.91,0.15
nitro5,sd,7.56,0.05
scorpius,cpu,19.61,0.19
scorpius,nic,0.19,0.0
scorpius,ram,20.2,0.14
scorpius,sd,0.0,0.0
