⏳ Esperando a que todos los pods de TeaStore estén Running y Ready...
⏳ Esperando 15s a que CoreDNS se estabilice...
⏳ Verificando estado del TeaStore en http://192.168.18.31:30080/tools.descartes.teastore.webui/status...
⏳ Esperando a que todos los pods de TeaStore estén Running y Ready...
⏳ Esperando 15s a que CoreDNS se estabilice...
⏳ Verificando estado del TeaStore en http://192.168.18.33:30080/tools.descartes.teastore.webui/status ...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 2 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 3 / 5 servicios OK
❌ TeaStore aún no está listo. Reintentando en 10s...
   ➤ Estado actual: 5 / 5 servicios OK
✔ TODOS los servicios del TeaStore están OK. Continuando...
=== Escenario low ===
🚀 Iniciando LIMBO con profile=/home/luish/Documents/death/teastore/TeaStore/examples/httploadgenerator/increasingLowIntensity.csv y script=/home/luish/Documents/death/teastore/TeaStore/examples/httploadgenerator/teastore_browse.lua
Nov 27, 2025 1:31:42 AM tools.descartes.dlim.httploadgenerator.runner.Director executeDirector
WARNING: No power measurements
Nov 27, 2025 1:31:42 AM tools.descartes.dlim.httploadgenerator.runner.Director executeDirector
INFO: Load Generator Thread Count set to 128
Nov 27, 2025 1:31:42 AM tools.descartes.dlim.httploadgenerator.runner.Director executeDirector
INFO: URL connection timout set to 10000 ms
Nov 27, 2025 1:31:42 AM tools.descartes.dlim.httploadgenerator.runner.Director executeDirector
INFO: Using Lua Script: /home/luish/Documents/death/teastore/TeaStore/examples/httploadgenerator/teastore_browse.lua
Nov 27, 2025 1:31:43 AM tools.descartes.dlim.httploadgenerator.runner.Director process
INFO: Read 120 Arrival Rate Tuples
Load Generator sent: ok
Nov 27, 2025 1:31:43 AM tools.descartes.dlim.httploadgenerator.runner.Director process
INFO: Arrival Rates sent to Load Generator(s).
Load Generator sent: ok
Nov 27, 2025 1:31:43 AM tools.descartes.dlim.httploadgenerator.runner.Director process
INFO: Thread Count sent to Load Generator(s): 128
Load Generator sent: ok
Nov 27, 2025 1:31:43 AM tools.descartes.dlim.httploadgenerator.runner.Director process
INFO: URL connection timeout sent to Load Generator(s): 10000
Load Generator sent: ok
Nov 27, 2025 1:31:43 AM tools.descartes.dlim.httploadgenerator.runner.Director process
INFO: Contents of script sent to Load Generator: /home/luish/Documents/death/teastore/TeaStore/examples/httploadgenerator/teastore_browse.lua
Nov 27, 2025 1:31:43 AM tools.descartes.dlim.httploadgenerator.runner.Director process
INFO: Starting Load Generation
Beginning Run @1764225103126(27.11.2025;01:31:43126)
Target Time = 0.5; Load Intensity = 0.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 1.5; Load Intensity = 1.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 2.5; Load Intensity = 2.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 3.5; Load Intensity = 2.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 4.5; Load Intensity = 3.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 5.5; Load Intensity = 4.0; #Success = 0; #Failed = 4; #Dropped = 0
Target Time = 6.5; Load Intensity = 5.0; #Success = 10; #Failed = 0; #Dropped = 0
Target Time = 7.5; Load Intensity = 6.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 8.5; Load Intensity = 7.0; #Success = 16; #Failed = 0; #Dropped = 0
Target Time = 9.5; Load Intensity = 7.0; #Success = 1; #Failed = 0; #Dropped = 0
Target Time = 10.5; Load Intensity = 8.0; #Success = 12; #Failed = 0; #Dropped = 0
Target Time = 11.5; Load Intensity = 9.0; #Success = 11; #Failed = 0; #Dropped = 0
Target Time = 12.5; Load Intensity = 10.0; #Success = 7; #Failed = 0; #Dropped = 0
Target Time = 13.5; Load Intensity = 11.0; #Success = 11; #Failed = 0; #Dropped = 0
Target Time = 14.5; Load Intensity = 12.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 15.5; Load Intensity = 12.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 16.5; Load Intensity = 13.0; #Success = 4; #Failed = 0; #Dropped = 0
Target Time = 17.5; Load Intensity = 14.0; #Success = 6; #Failed = 0; #Dropped = 0
Target Time = 18.5; Load Intensity = 15.0; #Success = 17; #Failed = 0; #Dropped = 0
Target Time = 19.5; Load Intensity = 16.0; #Success = 18; #Failed = 0; #Dropped = 0
Target Time = 20.5; Load Intensity = 17.0; #Success = 5; #Failed = 0; #Dropped = 0
Target Time = 21.5; Load Intensity = 17.0; #Success = 5; #Failed = 0; #Dropped = 0
Target Time = 22.5; Load Intensity = 18.0; #Success = 0; #Failed = 0; #Dropped = 0
Target Time = 23.5; Load Intensity = 19.0; #Success = 3; #Failed = 0; #Dropped = 0
Target Time = 24.5; Load Intensity = 20.0; #Success = 9; #Failed = 0; #Dropped = 0
Target Time = 25.5; Load Intensity = 21.0; #Success = 14; #Failed = 0; #Dropped = 0
Target Time = 26.5; Load Intensity = 22.0; #Success = 15; #Failed = 0; #Dropped = 0
Target Time = 27.5; Load Intensity = 22.0; #Success = 13; #Failed = 0; #Dropped = 0
Target Time = 28.5; Load Intensity = 23.0; #Success = 2; #Failed = 0; #Dropped = 0
Target Time = 29.5; Load Intensity = 24.0; #Success = 12; #Failed = 0; #Dropped = 0
Target Time = 30.5; Load Intensity = 25.0; #Success = 13; #Failed = 0; #Dropped = 0
