group,intensity,exp_index,exp_id,exp_folder,node,component,total_energy_J,avg_power_W
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,nitro5,nic,0.44,0.0
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,nitro5,ram,20.68,0.15
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,nitro5,sd,9.11,0.07
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,scorpius,cpu,159.43,1.71
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,scorpius,nic,0.05,0.0
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,scorpius,ram,205.55,1.53
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,scorpius,sd,0.0,0.0
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,aspire,cpu,152.15,1.51
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,aspire,nic,0.22,0.0
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,aspire,ram,145.72,1.08
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,aspire,sd,7.1,0.05
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,leo,cpu,63.64,0.61
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,leo,nic,0.15,0.0
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,leo,ram,17.17,0.13
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,leo,sd,0.0,0.0
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,nitro5,cpu,38.87,0.34
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,nitro5,nic,1.83,0.01
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,nitro5,ram,20.94,0.15
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,nitro5,sd,9.1,0.07
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,scorpius,cpu,75.42,0.72
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,scorpius,nic,0.16,0.0
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,scorpius,ram,79.47,0.59
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,scorpius,sd,0.01,0.0
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,aspire,cpu,52.58,0.52
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,aspire,nic,1.01,0.01
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,aspire,ram,31.5,0.23
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,aspire,sd,229.84,1.65
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,leo,cpu,54.52,0.53
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,leo,nic,0.81,0.01
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,leo,ram,15.96,0.12
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,leo,sd,0.0,0.0
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,nitro5,cpu,40.19,0.36
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,nitro5,nic,1.21,0.01
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,nitro5,ram,21.7,0.16
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,nitro5,sd,11.6,0.08
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,scorpius,cpu,137.11,1.59
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,scorpius,nic,0.22,0.0
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,scorpius,ram,192.03,1.43
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,scorpius,sd,0.0,0.0
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,aspire,cpu,149.7,1.58
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,aspire,nic,0.29,0.0
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,aspire,ram,142.92,1.07
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,aspire,sd,0.0,0.0
