group,intensity,exp_index,exp_id,exp_folder,node,component,total_energy_J,avg_power_W
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,aspire,ram,153.55,1.15
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,aspire,sd,17.68,0.13
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,leo,cpu,79.36,0.74
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,leo,nic,0.11,0.0
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,leo,ram,20.6,0.15
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,leo,sd,0.0,0.0
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,nitro5,cpu,38.85,0.33
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,nitro5,nic,0.54,0.0
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,nitro5,ram,20.32,0.15
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,nitro5,sd,8.95,0.06
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,scorpius,cpu,74.89,0.74
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,scorpius,nic,0.28,0.0
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,scorpius,ram,81.43,0.6
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,scorpius,sd,0.01,0.0
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,aspire,cpu,69.99,0.67
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,aspire,nic,0.51,0.0
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,aspire,ram,42.49,0.31
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,aspire,sd,230.01,1.64
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,leo,cpu,375.22,3.47
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,leo,nic,0.17,0.0
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,leo,ram,126.21,0.93
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,leo,sd,0.0,0.0
