group,intensity,exp_index,exp_id,exp_folder,total_energy_J,successful_tx,failed_tx,dropped_tx,avg_response_time,energy_per_tx,tx_per_joule,nodes_used
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,777.8499999999999,604,567,65229,6.776978,1.2878311258278143,0.7764993250626728,3
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,381.84000000000003,330,288,5346,5.017409,1.1570909090909092,0.8642363293526083,3
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,1438.56,5464,64,181832,0.61233,0.2632796486090776,3.798242687131576,3
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,1013.6300000000001,5290,84,181986,0.751166,0.1916124763705104,5.218866844903959,3
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,1396.4,5456,14,181890,0.75503,0.25593841642228743,3.9071899169292466,3
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,612.76,1218,1177,184965,5.915582,0.5030870279146141,1.987727658463346,3
without-plugin,high,5,without-plugin_high_5,exp(08:37:20)_fase3_high_iter3,690.1899999999999,1041,1389,184914,7.193139,0.6630067243035542,1.508280328605167,3
without-plugin,high,6,without-plugin_high_6,exp(21:41:23)_fase3_high_iter1,681.4000000000001,417,130,120413,5.399715,1.6340527577937651,0.6119753448781918,3
without-plugin,high,7,without-plugin_high_7,exp(21:47:43)_fase3_high_iter2,1740.4600000000003,796,447,119717,9.269328,2.1865075376884424,0.4573503556531031,3
without-plugin,high,8,without-plugin_high_8,exp(21:58:26)_fase3_high_iter3,1222.3400000000001,340,284,120336,3.657371,3.595117647058824,0.27815501415318156,3
without-plugin,high,9,without-plugin_high_9,exp(22:06:21)_fase3_high_iter4,2319.8300000000004,1233,251,119476,5.461549,1.8814517437145177,0.5315044636891495,3
without-plugin,high,10,without-plugin_high_10,exp(22:14:20)_fase3_high_iter5,1388.28,445,420,120063,5.373137,3.1197303370786518,0.32054052496614516,3
without-plugin,high,11,without-plugin_high_11,exp(22:20:55)_fase3_high_iter6,895.1899999999999,252,427,120281,5.458841,3.5523412698412695,0.2815044850813794,3
without-plugin,high,12,without-plugin_high_12,exp(22:29:57)_fase3_high_iter7,785.8,321,847,119792,3.529386,2.44797507788162,0.40850089081191143,3
without-plugin,high,13,without-plugin_high_13,exp(22:56:08)_fase3_high_iter8,1171.35,400,118,120442,6.488192,2.928375,0.3414863192043369,3
without-plugin,high,14,without-plugin_high_14,exp(23:07:07)_fase3_high_iter1,843.3400000000001,4677,830,181835,0.542948,0.18031644216378023,5.545805962008204,3
without-plugin,high,15,without-plugin_high_15,exp(23:07:40)_fase3_high_iter9,924.22,437,184,120339,3.650815,2.114919908466819,0.47283114409988963,3
without-plugin,low,1,without-plugin_low_1,exp(01:26:36)_fase3_low_iter1,792.97,236,458,5246,4.725,3.360042372881356,0.29761529439953593,3
