group,intensity,exp_index,exp_id,exp_folder,node,teastore_pods_total,teastore-webui,teastore-image,teastore-db,teastore-registry,teastore-auth,teastore-recommender,teastore-persistence,k8s_pods
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,scorpius,4,0,0,1,1,0,1,1,2
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,aspire,1,0,1,0,0,0,0,0,3
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,leo,1,0,0,0,0,0,1,0,2
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,nitro5,0,0,0,0,0,0,0,0,8
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,scorpius,5,1,0,1,1,1,0,1,3
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,aspire,2,1,0,0,0,1,0,0,4
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,leo,1,0,0,0,0,0,1,0,3
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,nitro5,0,0,0,0,0,0,0,0,7
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,scorpius,4,0,1,1,1,0,0,1,2
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,aspire,1,0,1,0,0,0,0,0,3
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,leo,1,0,0,0,0,0,1,0,2
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,nitro5,0,0,0,0,0,0,0,0,8
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,scorpius,5,1,0,1,1,1,0,1,3
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,aspire,2,1,0,0,0,1,0,0,4
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,leo,1,0,1,0,0,0,0,0,3
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,nitro5,0,0,0,0,0,0,0,0,7
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,scorpius,4,0,0,1,1,0,1,1,2
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,aspire,1,0,1,0,0,0,0,0,3
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,leo,1,0,0,0,0,0,1,0,2
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,nitro5,0,0,0,0,0,0,0,0,8
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,scorpius,5,1,0,1,1,1,0,1,3
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,aspire,2,1,0,0,0,1,0,0,4
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,leo,1,0,0,0,0,0,1,0,3
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,nitro5,0,0,0,0,0,0,0,0,7
with-plugin,low,17,with-plugin_low_17,exp(04:05:37)_fase3_low_iter17,scorpius,4,0,1,1,1,0,0,1,2
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,aspire,1,0,1,0,0,0,0,0,3
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,leo,1,0,0,0,0,0,1,0,2
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,nitro5,0,0,0,0,0,0,0,0,8
with-plugin,low,18,with-plugin_low_18,exp(04:12:57)_fase3_low_iter18,scorpius,5,1,0,1,1,1,0,1,3
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,aspire,2,1,0,0,0,1,0,0,4
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,leo,1,0,1,0,0,0,0,0,3
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,nitro5,0,0,0,0,0,0,0,0,7
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,scorpius,4,0,0,1,1,0,1,1,2
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,aspire,1,0,1,0,0,0,0,0,3
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,leo,1,0,0,0,0,0,1,0,2
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,nitro5,0,0,0,0,0,0,0,0,8
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,scorpius,5,1,0,1,1,1,0,1,3
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,aspire,2,1,0,0,0,1,0,0,4
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,leo,1,0,0,0,0,0,1,0,3
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,nitro5,0,0,0,0,0,0,0,0,7
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,scorpius,4,0,1,1,1,0,0,1,2
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,aspire,1,0,1,0,0,0,0,0,3
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,leo,1,0,0,0,0,0,1,0,2
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,nitro5,0,0,0,0,0,0,0,0,8
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,scorpius,5,1,0,1,1,1,0,1,3
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,aspire,2,1,0,0,0,1,0,0,4
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,leo,1,0,0,0,0,0,1,0,3
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,nitro5,0,0,0,0,0,0,0,0,7
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,scorpius,4,0,1,1,1,0,0,1,2
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,aspire,1,0,1,0,0,0,0,0,3
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,leo,1,1,0,0,0,0,0,0,2
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,nitro5,0,0,0,0,0,0,0,0,8
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,scorpius,5,0,0,1,1,1,1,1,3
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,aspire,2,1,0,0,0,1,0,0,4
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,leo,1,0,1,0,0,0,0,0,3
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,nitro5,0,0,0,0,0,0,0,0,7
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,scorpius,4,0,0,1,1,0,1,1,2
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,aspire,1,0,1,0,0,0,0,0,3
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,leo,1,0,0,0,0,0,1,0,2
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,nitro5,0,0,0,0,0,0,0,0,8
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,scorpius,5,1,0,1,1,1,0,1,3
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,aspire,2,1,0,0,0,1,0,0,4
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,leo,1,0,0,0,0,0,1,0,3
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,nitro5,0,0,0,0,0,0,0,0,7
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,scorpius,4,0,1,1,1,0,0,1,2
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,aspire,1,0,1,0,0,0,0,0,3
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,leo,1,1,0,0,0,0,0,0,2
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,nitro5,0,0,0,0,0,0,0,0,8
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,scorpius,5,0,0,1,1,1,1,1,3
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,aspire,2,1,0,0,0,1,0,0,4
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,leo,1,0,0,0,0,0,1,0,3
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,nitro5,0,0,0,0,0,0,0,0,7
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,scorpius,4,0,1,1,1,0,0,1,2
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,aspire,3,1,1,0,0,1,0,0,3
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,leo,2,0,0,1,0,0,0,1,3
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,scorpius,2,0,0,0,1,0,1,0,2
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,aspire,3,1,0,1,0,1,0,0,4
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,leo,2,0,0,0,0,0,1,1,2
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,nitro5,0,0,0,0,0,0,0,0,6
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,scorpius,2,0,1,0,1,0,0,0,3
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,aspire,3,1,1,0,0,0,0,1,3
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,leo,2,0,0,1,0,1,0,0,3
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,scorpius,2,0,0,0,1,0,1,0,2
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,aspire,4,1,0,1,0,0,1,1,3
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,leo,2,0,1,0,1,0,0,0,3
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,scorpius,1,0,0,0,0,1,0,0,2
without-plugin,high,5,without-plugin_high_5,exp(08:37:20)_fase3_high_iter3,aspire,3,0,0,1,0,0,1,1,3
without-plugin,high,5,without-plugin_high_5,exp(08:37:20)_fase3_high_iter3,leo,2,0,1,0,1,0,0,0,3
without-plugin,high,5,without-plugin_high_5,exp(08:37:20)_fase3_high_iter3,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,high,5,without-plugin_high_5,exp(08:37:20)_fase3_high_iter3,scorpius,2,1,0,0,0,1,0,0,2
without-plugin,high,6,without-plugin_high_6,exp(21:41:23)_fase3_high_iter1,aspire,4,1,0,1,0,0,1,1,3
without-plugin,high,6,without-plugin_high_6,exp(21:41:23)_fase3_high_iter1,leo,2,0,1,0,1,0,0,0,2
