group,intensity,exp_index,exp_id,exp_folder,node,teastore_pods_total,teastore-webui,teastore-image,teastore-db,teastore-registry,teastore-auth,teastore-recommender,teastore-persistence,k8s_pods
without-plugin,low,9,without-plugin_low_9,exp(07:03:35)_fase3_low_iter9,aspire,3,0,0,1,1,0,1,0,2
without-plugin,low,9,without-plugin_low_9,exp(07:03:35)_fase3_low_iter9,leo,2,0,1,0,0,0,0,1,2
without-plugin,low,9,without-plugin_low_9,exp(07:03:35)_fase3_low_iter9,nitro5,0,0,0,0,0,0,0,0,8
without-plugin,low,9,without-plugin_low_9,exp(07:03:35)_fase3_low_iter9,scorpius,2,1,0,0,0,1,0,0,3
without-plugin,low,10,without-plugin_low_10,exp(21:20:45)_fase3_low_iter1,aspire,3,0,0,1,0,0,1,1,3
without-plugin,low,10,without-plugin_low_10,exp(21:20:45)_fase3_low_iter1,leo,2,1,0,0,1,0,0,0,3
without-plugin,low,10,without-plugin_low_10,exp(21:20:45)_fase3_low_iter1,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,low,10,without-plugin_low_10,exp(21:20:45)_fase3_low_iter1,scorpius,2,0,1,0,0,1,0,0,2
without-plugin,low,11,without-plugin_low_11,exp(21:29:09)_fase3_low_iter2,aspire,3,0,0,1,0,1,1,0,2
without-plugin,low,11,without-plugin_low_11,exp(21:29:09)_fase3_low_iter2,leo,2,1,0,0,0,0,0,1,2
without-plugin,low,11,without-plugin_low_11,exp(21:29:09)_fase3_low_iter2,nitro5,0,0,0,0,0,0,0,0,8
without-plugin,low,11,without-plugin_low_11,exp(21:29:09)_fase3_low_iter2,scorpius,2,0,1,0,1,0,0,0,3
without-plugin,low,12,without-plugin_low_12,exp(21:36:16)_fase3_low_iter3,aspire,3,0,1,1,0,0,0,1,3
without-plugin,low,12,without-plugin_low_12,exp(21:36:16)_fase3_low_iter3,leo,2,0,0,0,1,0,1,0,3
without-plugin,low,12,without-plugin_low_12,exp(21:36:16)_fase3_low_iter3,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,low,12,without-plugin_low_12,exp(21:36:16)_fase3_low_iter3,scorpius,2,1,0,0,0,1,0,0,2
without-plugin,low,13,without-plugin_low_13,exp(21:47:29)_fase3_low_iter4,aspire,4,1,0,1,0,1,1,0,2
without-plugin,low,13,without-plugin_low_13,exp(21:47:29)_fase3_low_iter4,leo,1,0,0,0,0,0,0,1,2
without-plugin,low,13,without-plugin_low_13,exp(21:47:29)_fase3_low_iter4,nitro5,0,0,0,0,0,0,0,0,8
without-plugin,low,13,without-plugin_low_13,exp(21:47:29)_fase3_low_iter4,scorpius,2,0,1,0,1,0,0,0,3
without-plugin,low,14,without-plugin_low_14,exp(21:54:49)_fase3_low_iter5,aspire,3,0,1,1,0,0,0,1,3
without-plugin,low,14,without-plugin_low_14,exp(21:54:49)_fase3_low_iter5,leo,2,0,0,0,1,0,1,0,3
without-plugin,low,14,without-plugin_low_14,exp(21:54:49)_fase3_low_iter5,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,low,14,without-plugin_low_14,exp(21:54:49)_fase3_low_iter5,scorpius,2,1,0,0,0,1,0,0,2
without-plugin,low,15,without-plugin_low_15,exp(22:02:44)_fase3_low_iter6,aspire,3,0,1,1,0,0,1,0,2
without-plugin,low,15,without-plugin_low_15,exp(22:02:44)_fase3_low_iter6,leo,2,1,0,0,0,0,0,1,2
without-plugin,low,15,without-plugin_low_15,exp(22:02:44)_fase3_low_iter6,nitro5,0,0,0,0,0,0,0,0,8
without-plugin,low,15,without-plugin_low_15,exp(22:02:44)_fase3_low_iter6,scorpius,2,0,0,0,1,1,0,0,3
without-plugin,low,16,without-plugin_low_16,exp(22:11:14)_fase3_low_iter7,aspire,4,1,0,1,0,0,1,1,3
without-plugin,low,16,without-plugin_low_16,exp(22:11:14)_fase3_low_iter7,leo,2,0,1,0,1,0,0,0,3
without-plugin,low,16,without-plugin_low_16,exp(22:11:14)_fase3_low_iter7,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,low,16,without-plugin_low_16,exp(22:11:14)_fase3_low_iter7,scorpius,1,0,0,0,0,1,0,0,2
without-plugin,low,17,without-plugin_low_17,exp(22:36:32)_fase3_low_iter8,aspire,4,1,1,1,0,0,1,0,2
without-plugin,low,17,without-plugin_low_17,exp(22:36:32)_fase3_low_iter8,leo,1,0,0,0,0,0,0,1,2
without-plugin,low,17,without-plugin_low_17,exp(22:36:32)_fase3_low_iter8,nitro5,0,0,0,0,0,0,0,0,8
without-plugin,low,17,without-plugin_low_17,exp(22:36:32)_fase3_low_iter8,scorpius,2,0,0,0,1,1,0,0,3
without-plugin,low,18,without-plugin_low_18,exp(22:54:05)_fase3_low_iter1,aspire,3,1,1,1,0,0,0,0,4
without-plugin,low,18,without-plugin_low_18,exp(22:54:05)_fase3_low_iter1,leo,2,0,0,0,0,0,1,1,2
without-plugin,low,18,without-plugin_low_18,exp(22:54:05)_fase3_low_iter1,nitro5,0,0,0,0,0,0,0,0,6
without-plugin,low,18,without-plugin_low_18,exp(22:54:05)_fase3_low_iter1,scorpius,2,0,0,0,1,1,0,0,3
without-plugin,low,19,without-plugin_low_19,exp(23:14:18)_fase3_low_iter1,aspire,3,1,1,0,0,1,0,0,3
without-plugin,low,19,without-plugin_low_19,exp(23:14:18)_fase3_low_iter1,leo,2,0,0,1,0,0,0,1,3
without-plugin,low,19,without-plugin_low_19,exp(23:14:18)_fase3_low_iter1,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,low,19,without-plugin_low_19,exp(23:14:18)_fase3_low_iter1,scorpius,2,0,0,0,1,0,1,0,2
without-plugin,low,20,without-plugin_low_20,exp(23:22:39)_fase3_low_iter2,aspire,3,0,1,1,0,0,1,0,4
without-plugin,low,20,without-plugin_low_20,exp(23:22:39)_fase3_low_iter2,leo,2,1,0,0,0,0,0,1,2
without-plugin,low,20,without-plugin_low_20,exp(23:22:39)_fase3_low_iter2,nitro5,0,0,0,0,0,0,0,0,6
without-plugin,low,20,without-plugin_low_20,exp(23:22:39)_fase3_low_iter2,scorpius,2,0,0,0,1,1,0,0,3
without-plugin,low,21,without-plugin_low_21,exp(23:28:58)_fase3_low_iter3,aspire,3,0,1,0,0,0,1,1,3
without-plugin,low,21,without-plugin_low_21,exp(23:28:58)_fase3_low_iter3,leo,2,0,0,1,0,1,0,0,3
without-plugin,low,21,without-plugin_low_21,exp(23:28:58)_fase3_low_iter3,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,low,21,without-plugin_low_21,exp(23:28:58)_fase3_low_iter3,scorpius,2,1,0,0,1,0,0,0,2
without-plugin,medium,1,without-plugin_medium_1,exp(05:04:02)_fase3_medium_iter1,aspire,3,0,1,1,0,0,1,0,4
without-plugin,medium,1,without-plugin_medium_1,exp(05:04:02)_fase3_medium_iter1,leo,2,1,0,0,0,0,0,1,2
without-plugin,medium,1,without-plugin_medium_1,exp(05:04:02)_fase3_medium_iter1,nitro5,0,0,0,0,0,0,0,0,6
without-plugin,medium,1,without-plugin_medium_1,exp(05:04:02)_fase3_medium_iter1,scorpius,2,0,0,0,1,1,0,0,3
without-plugin,medium,2,without-plugin_medium_2,exp(05:10:17)_fase3_medium_iter2,aspire,3,0,1,0,0,0,1,1,3
without-plugin,medium,2,without-plugin_medium_2,exp(05:10:17)_fase3_medium_iter2,leo,2,0,0,1,0,1,0,0,3
without-plugin,medium,2,without-plugin_medium_2,exp(05:10:17)_fase3_medium_iter2,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,medium,2,without-plugin_medium_2,exp(05:10:17)_fase3_medium_iter2,scorpius,2,1,0,0,1,0,0,0,2
without-plugin,medium,3,without-plugin_medium_3,exp(05:18:13)_fase3_medium_iter3,aspire,3,1,1,1,0,0,0,0,4
without-plugin,medium,3,without-plugin_medium_3,exp(05:18:13)_fase3_medium_iter3,leo,2,0,0,0,0,0,1,1,2
without-plugin,medium,3,without-plugin_medium_3,exp(05:18:13)_fase3_medium_iter3,nitro5,0,0,0,0,0,0,0,0,6
without-plugin,medium,3,without-plugin_medium_3,exp(05:18:13)_fase3_medium_iter3,scorpius,2,0,0,0,1,1,0,0,3
without-plugin,medium,4,without-plugin_medium_4,exp(06:20:25)_fase3_medium_iter1,aspire,3,0,0,1,0,0,1,1,3
without-plugin,medium,4,without-plugin_medium_4,exp(06:20:25)_fase3_medium_iter1,leo,2,0,1,0,1,0,0,0,3
without-plugin,medium,4,without-plugin_medium_4,exp(06:20:25)_fase3_medium_iter1,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,medium,4,without-plugin_medium_4,exp(06:20:25)_fase3_medium_iter1,scorpius,2,1,0,0,0,1,0,0,2
without-plugin,medium,5,without-plugin_medium_5,exp(06:28:20)_fase3_medium_iter2,aspire,4,1,1,1,0,0,1,0,2
without-plugin,medium,5,without-plugin_medium_5,exp(06:28:20)_fase3_medium_iter2,leo,1,0,0,0,0,0,0,1,2
without-plugin,medium,5,without-plugin_medium_5,exp(06:28:20)_fase3_medium_iter2,nitro5,0,0,0,0,0,0,0,0,8
without-plugin,medium,5,without-plugin_medium_5,exp(06:28:20)_fase3_medium_iter2,scorpius,2,0,0,0,1,1,0,0,3
without-plugin,medium,6,without-plugin_medium_6,exp(06:35:32)_fase3_medium_iter3,aspire,3,0,0,1,0,0,1,1,3
without-plugin,medium,6,without-plugin_medium_6,exp(06:35:32)_fase3_medium_iter3,leo,2,0,1,0,1,0,0,0,3
without-plugin,medium,6,without-plugin_medium_6,exp(06:35:32)_fase3_medium_iter3,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,medium,6,without-plugin_medium_6,exp(06:35:32)_fase3_medium_iter3,scorpius,2,1,0,0,0,1,0,0,2
without-plugin,medium,7,without-plugin_medium_7,exp(07:13:58)_fase3_medium_iter1,aspire,3,0,0,1,1,0,1,0,2
without-plugin,medium,7,without-plugin_medium_7,exp(07:13:58)_fase3_medium_iter1,leo,2,0,1,0,0,0,0,1,2
without-plugin,medium,7,without-plugin_medium_7,exp(07:13:58)_fase3_medium_iter1,nitro5,0,0,0,0,0,0,0,0,8
without-plugin,medium,7,without-plugin_medium_7,exp(07:13:58)_fase3_medium_iter1,scorpius,2,1,0,0,0,1,0,0,3
without-plugin,medium,8,without-plugin_medium_8,exp(07:22:01)_fase3_medium_iter2,aspire,4,1,1,1,1,0,0,0,3
without-plugin,medium,8,without-plugin_medium_8,exp(07:22:01)_fase3_medium_iter2,leo,2,0,0,0,0,0,1,1,3
without-plugin,medium,8,without-plugin_medium_8,exp(07:22:01)_fase3_medium_iter2,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,medium,8,without-plugin_medium_8,exp(07:22:01)_fase3_medium_iter2,scorpius,1,0,0,0,0,1,0,0,2
without-plugin,medium,9,without-plugin_medium_9,exp(07:28:48)_fase3_medium_iter3,aspire,4,1,0,0,1,1,1,0,2
without-plugin,medium,9,without-plugin_medium_9,exp(07:28:48)_fase3_medium_iter3,leo,1,0,0,0,0,0,0,1,2
without-plugin,medium,9,without-plugin_medium_9,exp(07:28:48)_fase3_medium_iter3,nitro5,0,0,0,0,0,0,0,0,8
without-plugin,medium,9,without-plugin_medium_9,exp(07:28:48)_fase3_medium_iter3,scorpius,2,0,1,1,0,0,0,0,3
without-plugin,medium,10,without-plugin_medium_10,exp(07:36:27)_fase3_medium_iter4,aspire,3,0,1,1,0,0,0,1,3
without-plugin,medium,10,without-plugin_medium_10,exp(07:36:27)_fase3_medium_iter4,leo,2,0,0,0,1,0,1,0,3
without-plugin,medium,10,without-plugin_medium_10,exp(07:36:27)_fase3_medium_iter4,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,medium,10,without-plugin_medium_10,exp(07:36:27)_fase3_medium_iter4,scorpius,2,1,0,0,0,1,0,0,2
without-plugin,medium,11,without-plugin_medium_11,exp(07:42:50)_fase3_medium_iter5,aspire,4,1,1,0,1,0,1,0,2
without-plugin,medium,11,without-plugin_medium_11,exp(07:42:50)_fase3_medium_iter5,leo,1,0,0,0,0,0,0,1,2
without-plugin,medium,11,without-plugin_medium_11,exp(07:42:50)_fase3_medium_iter5,nitro5,0,0,0,0,0,0,0,0,8
without-plugin,medium,11,without-plugin_medium_11,exp(07:42:50)_fase3_medium_iter5,scorpius,2,0,0,1,0,1,0,0,3
without-plugin,medium,12,without-plugin_medium_12,exp(07:51:18)_fase3_medium_iter6,aspire,3,0,1,1,1,0,0,0,3
without-plugin,medium,12,without-plugin_medium_12,exp(07:51:18)_fase3_medium_iter6,leo,2,0,0,0,0,0,1,1,3
without-plugin,medium,12,without-plugin_medium_12,exp(07:51:18)_fase3_medium_iter6,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,medium,12,without-plugin_medium_12,exp(07:51:18)_fase3_medium_iter6,scorpius,2,1,0,0,0,1,0,0,2
without-plugin,medium,13,without-plugin_medium_13,exp(07:57:40)_fase3_medium_iter7,aspire,4,1,1,0,1,0,1,0,2
without-plugin,medium,13,without-plugin_medium_13,exp(07:57:40)_fase3_medium_iter7,leo,1,0,0,0,0,0,0,1,2
without-plugin,medium,13,without-plugin_medium_13,exp(07:57:40)_fase3_medium_iter7,nitro5,0,0,0,0,0,0,0,0,8
without-plugin,medium,13,without-plugin_medium_13,exp(07:57:40)_fase3_medium_iter7,scorpius,2,0,0,1,0,1,0,0,3
without-plugin,medium,14,without-plugin_medium_14,exp(08:05:26)_fase3_medium_iter8,aspire,3,0,0,1,1,0,1,0,3
without-plugin,medium,14,without-plugin_medium_14,exp(08:05:26)_fase3_medium_iter8,leo,2,0,1,0,0,0,0,1,3
without-plugin,medium,14,without-plugin_medium_14,exp(08:05:26)_fase3_medium_iter8,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,medium,14,without-plugin_medium_14,exp(08:05:26)_fase3_medium_iter8,scorpius,2,1,0,0,0,1,0,0,2
without-plugin,medium,15,without-plugin_medium_15,exp(08:13:08)_fase3_medium_iter9,aspire,4,1,1,1,0,0,1,0,2
without-plugin,medium,15,without-plugin_medium_15,exp(08:13:08)_fase3_medium_iter9,leo,1,0,0,0,0,0,0,1,2
without-plugin,medium,15,without-plugin_medium_15,exp(08:13:08)_fase3_medium_iter9,nitro5,0,0,0,0,0,0,0,0,8
without-plugin,medium,15,without-plugin_medium_15,exp(08:13:08)_fase3_medium_iter9,scorpius,2,0,0,0,1,1,0,0,3
without-plugin,medium,16,without-plugin_medium_16,exp(23:00:51)_fase3_medium_iter1,aspire,3,0,1,0,0,0,1,1,3
without-plugin,medium,16,without-plugin_medium_16,exp(23:00:51)_fase3_medium_iter1,leo,2,0,0,1,0,1,0,0,3
without-plugin,medium,16,without-plugin_medium_16,exp(23:00:51)_fase3_medium_iter1,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,medium,16,without-plugin_medium_16,exp(23:00:51)_fase3_medium_iter1,scorpius,2,1,0,0,1,0,0,0,2
without-plugin,medium,17,without-plugin_medium_17,exp(23:36:51)_fase3_medium_iter1,aspire,3,1,0,1,0,1,0,0,4
without-plugin,medium,17,without-plugin_medium_17,exp(23:36:51)_fase3_medium_iter1,leo,2,0,0,0,0,0,1,1,2
without-plugin,medium,17,without-plugin_medium_17,exp(23:36:51)_fase3_medium_iter1,nitro5,0,0,0,0,0,0,0,0,6
without-plugin,medium,17,without-plugin_medium_17,exp(23:36:51)_fase3_medium_iter1,scorpius,2,0,1,0,1,0,0,0,3
without-plugin,medium,18,without-plugin_medium_18,exp(23:43:10)_fase3_medium_iter2,aspire,3,1,1,0,0,1,0,0,3
without-plugin,medium,18,without-plugin_medium_18,exp(23:43:10)_fase3_medium_iter2,leo,2,0,0,1,0,0,0,1,3
without-plugin,medium,18,without-plugin_medium_18,exp(23:43:10)_fase3_medium_iter2,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,medium,18,without-plugin_medium_18,exp(23:43:10)_fase3_medium_iter2,scorpius,2,0,0,0,1,0,1,0,2
