node,component,total_energy,avg_energy
aspire,cpu,110.79,1.01
aspire,nic,1.17,0.01
aspire,ram,82.94,0.59
aspire,sd,236.6,1.63
leo,cpu,115.36,1.08
leo,nic,0.44,0.0
leo,ram,32.3,0.23
leo,sd,0.0,0.0
nitro5,cpu,47.73,0.41
nitro5,nic,2.83,0.02
nitro5,ram,21.06,0.15
nitro5,sd,7.7,0.05
scorpius,cpu,168.6,1.53
scorpius,nic,0.04,0.0
scorpius,ram,189.34,1.35
scorpius,sd,0.0,0.0
