Iteracion,Fecha,Namespace,Pod,Nodo
4,2026-01-16 01:39:29,default,teastore-registry-676858f7cd-xmpvq,scorpius03
4,2026-01-16 01:39:29,default,teastore-webui-558b54cc77-rpfx4,luish-aspire-a315-55g
5,2026-01-16 01:39:37,default,teastore-auth-84d7ccddd9-snzjk,luish-aspire-a315-55g
5,2026-01-16 01:39:37,default,teastore-db-84f96b9dd8-jg5k9,luish-nitro-an515-57
5,2026-01-16 01:39:37,default,teastore-image-79674648d-rg8p4,luish-aspire-a315-55g
5,2026-01-16 01:39:37,default,teastore-persistence-784748b4b9-xrpkx,scorpius03
5,2026-01-16 01:39:37,default,teastore-recommender-74559c88-xs6km,leo02
5,2026-01-16 01:39:37,default,teastore-registry-676858f7cd-xmpvq,scorpius03
5,2026-01-16 01:39:37,default,teastore-webui-558b54cc77-rpfx4,luish-aspire-a315-55g
6,2026-01-16 01:39:46,default,teastore-auth-84d7ccddd9-snzjk,luish-aspire-a315-55g
6,2026-01-16 01:39:46,default,teastore-db-84f96b9dd8-lcrbf,luish-aspire-a315-55g
6,2026-01-16 01:39:46,default,teastore-image-79674648d-gltc5,leo02
6,2026-01-16 01:39:46,default,teastore-persistence-784748b4b9-xrpkx,scorpius03
6,2026-01-16 01:39:46,default,teastore-recommender-74559c88-xs6km,leo02
6,2026-01-16 01:39:46,default,teastore-registry-676858f7cd-xlrbb,luish-nitro-an515-57
6,2026-01-16 01:39:46,default,teastore-webui-558b54cc77-rpfx4,luish-aspire-a315-55g
7,2026-01-16 01:39:57,default,teastore-auth-84d7ccddd9-7ckkp,luish-aspire-a315-55g
7,2026-01-16 01:39:57,default,teastore-db-84f96b9dd8-lcrbf,luish-aspire-a315-55g
7,2026-01-16 01:39:57,default,teastore-image-79674648d-tfmls,luish-aspire-a315-55g
7,2026-01-16 01:39:57,default,teastore-persistence-784748b4b9-xrpkx,scorpius03
7,2026-01-16 01:39:57,default,teastore-recommender-74559c88-vkcbt,luish-nitro-an515-57
7,2026-01-16 01:39:57,default,teastore-registry-676858f7cd-xlrbb,luish-nitro-an515-57
7,2026-01-16 01:39:57,default,teastore-webui-558b54cc77-zm6bj,luish-nitro-an515-57
8,2026-01-16 01:40:05,default,teastore-auth-84d7ccddd9-wwpvd,luish-nitro-an515-57
8,2026-01-16 01:40:05,default,teastore-db-84f96b9dd8-lcrbf,luish-aspire-a315-55g
8,2026-01-16 01:40:05,default,teastore-image-79674648d-tfmls,luish-aspire-a315-55g
8,2026-01-16 01:40:05,default,teastore-persistence-784748b4b9-xgtbq,leo02
8,2026-01-16 01:40:05,default,teastore-recommender-74559c88-vkcbt,luish-nitro-an515-57
8,2026-01-16 01:40:05,default,teastore-registry-676858f7cd-pvqmp,luish-aspire-a315-55g
8,2026-01-16 01:40:05,default,teastore-webui-558b54cc77-zm6bj,luish-nitro-an515-57
9,2026-01-16 01:40:14,default,teastore-auth-84d7ccddd9-wwpvd,luish-nitro-an515-57
9,2026-01-16 01:40:14,default,teastore-db-84f96b9dd8-lcrbf,luish-aspire-a315-55g
9,2026-01-16 01:40:14,default,teastore-image-79674648d-tfmls,luish-aspire-a315-55g
9,2026-01-16 01:40:14,default,teastore-persistence-784748b4b9-xgtbq,leo02
9,2026-01-16 01:40:14,default,teastore-recommender-74559c88-vl4p9,luish-nitro-an515-57
9,2026-01-16 01:40:14,default,teastore-registry-676858f7cd-vqcst,leo02
9,2026-01-16 01:40:14,default,teastore-webui-558b54cc77-zm6bj,luish-nitro-an515-57
10,2026-01-16 01:40:23,default,teastore-auth-84d7ccddd9-wwpvd,luish-nitro-an515-57
10,2026-01-16 01:40:23,default,teastore-db-84f96b9dd8-m8qxp,luish-aspire-a315-55g
10,2026-01-16 01:40:23,default,teastore-image-79674648d-tfmls,luish-aspire-a315-55g
10,2026-01-16 01:40:23,default,teastore-persistence-784748b4b9-xgtbq,leo02
10,2026-01-16 01:40:23,default,teastore-recommender-74559c88-vl4p9,luish-nitro-an515-57
10,2026-01-16 01:40:23,default,teastore-registry-676858f7cd-vqcst,leo02
10,2026-01-16 01:40:23,default,teastore-webui-558b54cc77-zm6bj,luish-nitro-an515-57
11,2026-01-16 01:40:31,default,teastore-auth-84d7ccddd9-wwpvd,luish-nitro-an515-57
11,2026-01-16 01:40:31,default,teastore-db-84f96b9dd8-m8qxp,luish-aspire-a315-55g
11,2026-01-16 01:40:31,default,teastore-image-79674648d-tfmls,luish-aspire-a315-55g
11,2026-01-16 01:40:31,default,teastore-persistence-784748b4b9-hhv67,scorpius03
11,2026-01-16 01:40:31,default,teastore-recommender-74559c88-vl4p9,luish-nitro-an515-57
11,2026-01-16 01:40:31,default,teastore-registry-676858f7cd-vqcst,leo02
11,2026-01-16 01:40:31,default,teastore-webui-558b54cc77-t5hxs,leo02
