node,component,total_energy,avg_energy
aspire,cpu,187.01,2.08
aspire,nic,0.11,0.0
aspire,ram,205.75,1.5
aspire,sd,52.69,0.36
leo,cpu,192.63,1.78
leo,nic,0.08,0.0
leo,ram,54.7,0.39
leo,sd,0.0,0.0
nitro5,cpu,37.94,0.33
nitro5,nic,0.16,0.0
nitro5,ram,23.3,0.16
nitro5,sd,11.46,0.08
scorpius,cpu,38.19,0.35
scorpius,nic,1.0,0.01
scorpius,ram,38.32,0.27
scorpius,sd,0.0,0.0
